Date,SKU,Warehouse,OnHand,Receipts,Shipments,Demand
2025-05-19,S005,YYZ-DC1,84,0,6,4
2025-05-20,S005,YYZ-DC1,167,88,5,4
2025-05-21,S005,YYZ-DC1,160,0,7,6
2025-05-22,S005,YYZ-DC1,155,0,5,4
2025-05-23,S005,YYZ-DC1,146,0,9,7
2025-05-24,S005,YYZ-DC1,135,0,11,10
2025-05-25,S005,YYZ-DC1,131,0,4,4
2025-05-26,S005,YYZ-DC1,125,0,6,5
2025-05-27,S005,YYZ-DC1,116,0,9,7
2025-05-28,S005,YYZ-DC1,219,107,4,4
2025-05-29,S005,YYZ-DC1,210,0,9,8
2025-05-30,S005,YYZ-DC1,203,0,7,7
2025-05-31,S005,YYZ-DC1,197,0,6,4
2025-06-01,S005,YYZ-DC1,194,0,3,2
2025-06-02,S005,YYZ-DC1,188,0,6,6
2025-06-03,S005,YYZ-DC1,184,0,4,4
2025-06-04,S005,YYZ-DC1,179,0,5,5
2025-06-05,S005,YYZ-DC1,175,0,4,4
2025-06-06,S005,YYZ-DC1,168,0,7,5
2025-06-07,S005,YYZ-DC1,153,0,15,13
2025-06-08,S005,YYZ-DC1,252,109,10,9
2025-06-09,S005,YYZ-DC1,250,0,2,0
2025-06-10,S005,YYZ-DC1,245,0,5,4
2025-06-11,S005,YYZ-DC1,239,0,6,5
2025-06-12,S005,YYZ-DC1,231,0,8,6
2025-06-13,S005,YYZ-DC1,228,0,3,2
2025-06-14,S005,YYZ-DC1,221,0,7,7
2025-06-15,S005,YYZ-DC1,214,0,7,7
2025-06-16,S005,YYZ-DC1,285,77,6,4
2025-06-17,S005,YYZ-DC1,280,0,5,3
2025-06-18,S005,YYZ-DC1,271,0,9,8
2025-06-19,S005,YYZ-DC1,265,0,6,5
2025-06-20,S005,YYZ-DC1,258,0,7,7
2025-06-21,S005,YYZ-DC1,257,0,1,0
2025-06-22,S005,YYZ-DC1,255,0,2,0
2025-06-23,S005,YYZ-DC1,372,127,10,9
2025-06-24,S005,YYZ-DC1,368,0,4,2
2025-06-25,S005,YYZ-DC1,360,0,8,6
2025-06-26,S005,YYZ-DC1,358,0,2,2
2025-06-27,S005,YYZ-DC1,346,0,12,12
2025-06-28,S005,YYZ-DC1,338,0,8,7
2025-06-29,S005,YYZ-DC1,453,118,3,2
2025-05-01,S006,YYZ-DC1,76,0,7,7
2025-05-02,S006,YYZ-DC1,70,0,6,6
2025-05-03,S006,YYZ-DC1,67,0,3,1
2025-05-04,S006,YYZ-DC1,60,0,7,5
2025-05-05,S006,YYZ-DC1,50,0,10,9
2025-05-06,S006,YYZ-DC1,44,0,6,5
2025-05-07,S006,YYZ-DC1,42,0,2,2
2025-05-08,S006,YYZ-DC1,39,0,3,3
2025-05-09,S006,YYZ-DC1,35,0,4,4
2025-05-10,S006,YYZ-DC1,29,0,6,6
2025-05-11,S006,YYZ-DC1,126,99,2,0
2025-05-12,S006,YYZ-DC1,120,0,6,5
2025-05-13,S006,YYZ-DC1,114,0,6,6
2025-05-14,S006,YYZ-DC1,112,0,2,2
2025-05-15,S006,YYZ-DC1,107,0,5,5
2025-05-16,S006,YYZ-DC1,103,0,4,2
2025-05-17,S006,YYZ-DC1,98,0,5,4
2025-05-18,S006,YYZ-DC1,166,77,9,8
2025-05-19,S006,YYZ-DC1,160,0,6,6
2025-05-20,S006,YYZ-DC1,156,0,4,2
2025-05-21,S006,YYZ-DC1,154,0,2,1
2025-05-22,S006,YYZ-DC1,142,0,12,10
2025-05-23,S006,YYZ-DC1,137,0,5,3
2025-05-24,S006,YYZ-DC1,230,98,5,3
2025-05-25,S006,YYZ-DC1,222,0,8,6
2025-05-26,S006,YYZ-DC1,208,0,14,12
2025-05-27,S006,YYZ-DC1,201,0,7,7
2025-05-28,S006,YYZ-DC1,193,0,8,8
2025-05-29,S006,YYZ-DC1,179,0,14,12
2025-05-30,S006,YYZ-DC1,249,74,4,3
2025-05-31,S006,YYZ-DC1,243,0,6,5
2025-06-01,S006,YYZ-DC1,232,0,11,10
2025-06-02,S006,YYZ-DC1,229,0,3,1
2025-06-03,S006,YYZ-DC1,220,0,9,9
2025-06-04,S006,YYZ-DC1,213,0,7,5
2025-06-05,S006,YYZ-DC1,211,0,2,1
2025-06-06,S006,YYZ-DC1,205,0,6,5
2025-06-07,S006,YYZ-DC1,199,0,6,6
2025-06-08,S006,YYZ-DC1,280,82,1,1
2025-06-09,S006,YYZ-DC1,268,0,12,10
2025-06-10,S006,YYZ-DC1,264,0,4,4
2025-06-11,S006,YYZ-DC1,259,0,5,4
2025-06-12,S006,YYZ-DC1,253,0,6,5
2025-06-13,S006,YYZ-DC1,249,0,4,3
2025-06-14,S006,YYZ-DC1,249,0,0,0
2025-06-15,S006,YYZ-DC1,241,0,8,7
2025-06-16,S006,YYZ-DC1,235,0,6,6
2025-06-17,S006,YYZ-DC1,222,0,13,11
2025-06-18,S006,YYZ-DC1,212,0,10,8
2025-06-19,S006,YYZ-DC1,324,122,10,8
2025-06-20,S006,YYZ-DC1,314,0,10,8
2025-06-21,S006,YYZ-DC1,308,0,6,5
2025-06-22,S006,YYZ-DC1,301,0,7,5
2025-06-23,S006,YYZ-DC1,293,0,8,7
2025-06-24,S006,YYZ-DC1,289,0,4,3
2025-06-25,S006,YYZ-DC1,289,0,0,0
2025-06-26,S006,YYZ-DC1,276,0,13,11
2025-06-27,S006,YYZ-DC1,269,0,7,7
2025-06-28,S006,YYZ-DC1,259,0,10,10
2025-06-29,S006,YYZ-DC1,295,48,12,10
2025-05-01,S007,YYZ-DC1,65,0,7,6
2025-05-02,S007,YYZ-DC1,61,0,4,2
2025-05-03,S007,YYZ-DC1,56,0,5,5
2025-05-04,S007,YYZ-DC1,54,0,2,0
2025-05-05,S007,YYZ-DC1,45,0,9,7
2025-05-06,S007,YYZ-DC1,32,0,13,11
2025-05-07,S007,YYZ-DC1,95,66,3,1
2025-05-08,S007,YYZ-DC1,93,0,2,2
2025-05-09,S007,YYZ-DC1,91,0,2,2
2025-05-10,S007,YYZ-DC1,88,0,3,2
2025-05-11,S007,YYZ-DC1,80,0,8,8
2025-05-12,S007,YYZ-DC1,143,66,3,2
2025-05-13,S007,YYZ-DC1,138,0,5,5
2025-05-14,S007,YYZ-DC1,129,0,9,8
2025-05-15,S007,YYZ-DC1,120,0,9,9
2025-05-16,S007,YYZ-DC1,117,0,3,2
2025-05-17,S007,YYZ-DC1,110,0,7,6
2025-05-18,S007,YYZ-DC1,109,0,1,1
2025-05-19,S007,YYZ-DC1,105,0,4,3
2025-05-20,S007,YYZ-DC1,160,60,5,5
2025-05-21,S007,YYZ-DC1,159,0,1,1
2025-05-22,S007,YYZ-DC1,155,0,4,4
2025-05-23,S007,YYZ-DC1,149,0,6,5
2025-05-24,S007,YYZ-DC1,145,0,4,4
2025-05-25,S007,YYZ-DC1,140,0,5,4
2025-05-26,S007,YYZ-DC1,133,0,7,6
2025-05-27,S007,YYZ-DC1,129,0,4,4
2025-05-28,S007,YYZ-DC1,121,0,8,7
2025-05-29,S007,YYZ-DC1,200,83,4,3
2025-05-30,S007,YYZ-DC1,194,0,6,4
2025-05-31,S007,YYZ-DC1,184,0,10,8
2025-06-01,S007,YYZ-DC1,174,0,10,10
2025-06-02,S007,YYZ-DC1,163,0,11,9
2025-06-03,S007,YYZ-DC1,157,0,6,5
2025-06-04,S007,YYZ-DC1,270,122,9,7
2025-06-05,S007,YYZ-DC1,265,0,5,4
2025-06-06,S007,YYZ-DC1,259,0,6,4
2025-06-07,S007,YYZ-DC1,251,0,8,7
2025-06-08,S007,YYZ-DC1,246,0,5,3
2025-06-09,S007,YYZ-DC1,242,0,4,2
2025-06-10,S007,YYZ-DC1,236,0,6,6
2025-06-11,S007,YYZ-DC1,236,0,0,0
2025-06-12,S007,YYZ-DC1,224,0,12,12
2025-06-13,S007,YYZ-DC1,311,94,7,6
2025-06-14,S007,YYZ-DC1,305,0,6,6
2025-06-15,S007,YYZ-DC1,298,0,7,7
2025-06-16,S007,YYZ-DC1,285,0,13,11
2025-06-17,S007,YYZ-DC1,274,0,11,11
2025-06-18,S007,YYZ-DC1,410,145,9,8
2025-06-19,S007,YYZ-DC1,398,0,12,10
2025-06-20,S007,YYZ-DC1,390,0,8,6
2025-06-21,S007,YYZ-DC1,386,0,4,3
2025-06-22,S007,YYZ-DC1,379,0,7,7
2025-06-23,S007,YYZ-DC1,369,0,10,10
2025-06-24,S007,YYZ-DC1,362,0,7,7
2025-06-25,S007,YYZ-DC1,361,0,1,0
2025-06-26,S007,YYZ-DC1,356,0,5,5
2025-06-27,S007,YYZ-DC1,454,104,6,6
2025-06-28,S007,YYZ-DC1,448,0,6,6
2025-06-29,S007,YYZ-DC1,446,0,2,0
2025-05-01,S008,YYZ-DC1,146,0,4,4
2025-05-02,S008,YYZ-DC1,138,0,8,7
2025-05-03,S008,YYZ-DC1,128,0,10,9
2025-05-04,S008,YYZ-DC1,123,0,5,5
2025-05-05,S008,YYZ-DC1,113,0,10,8
2025-05-06,S008,YYZ-DC1,107,0,6,5
2025-05-07,S008,YYZ-DC1,104,0,3,3
2025-05-08,S008,YYZ-DC1,174,78,8,8
2025-05-09,S008,YYZ-DC1,174,0,0,0
2025-05-10,S008,YYZ-DC1,168,0,6,4
2025-05-11,S008,YYZ-DC1,160,0,8,6
2025-05-12,S008,YYZ-DC1,158,0,2,2
2025-05-13,S008,YYZ-DC1,153,0,5,5
2025-05-14,S008,YYZ-DC1,145,0,8,7
2025-05-15,S008,YYZ-DC1,135,0,10,9
2025-05-16,S008,YYZ-DC1,126,0,9,7
2025-05-17,S008,YYZ-DC1,115,0,11,9
2025-05-18,S008,YYZ-DC1,110,0,5,5
2025-05-19,S008,YYZ-DC1,197,94,7,7
2025-05-20,S008,YYZ-DC1,194,0,3,3
2025-05-21,S008,YYZ-DC1,186,0,8,8
2025-05-22,S008,YYZ-DC1,179,0,7,6
2025-05-23,S008,YYZ-DC1,176,0,3,1
2025-05-24,S008,YYZ-DC1,170,0,6,6
2025-05-25,S008,YYZ-DC1,167,0,3,2
2025-05-26,S008,YYZ-DC1,164,0,3,1
2025-05-27,S008,YYZ-DC1,156,0,8,7
2025-05-28,S008,YYZ-DC1,154,0,2,1
2025-05-29,S008,YYZ-DC1,147,0,7,7
2025-05-30,S008,YYZ-DC1,208,70,9,7
2025-05-31,S008,YYZ-DC1,203,0,5,3
2025-06-01,S008,YYZ-DC1,195,0,8,6
2025-06-02,S008,YYZ-DC1,189,0,6,6
2025-06-03,S008,YYZ-DC1,184,0,5,4
2025-06-04,S008,YYZ-DC1,178,0,6,4
2025-06-05,S008,YYZ-DC1,174,0,4,3
2025-06-06,S008,YYZ-DC1,168,0,6,4
2025-06-07,S008,YYZ-DC1,204,45,9,7
2025-06-08,S008,YYZ-DC1,199,0,5,3
2025-06-09,S008,YYZ-DC1,194,0,5,5
2025-06-10,S008,YYZ-DC1,188,0,6,4
2025-06-11,S008,YYZ-DC1,179,0,9,7
2025-06-12,S008,YYZ-DC1,170,0,9,8
2025-06-13,S008,YYZ-DC1,165,0,5,4
2025-06-14,S008,YYZ-DC1,240,83,8,7
2025-06-15,S008,YYZ-DC1,231,0,9,8
2025-06-16,S008,YYZ-DC1,223,0,8,6
2025-06-17,S008,YYZ-DC1,215,0,8,6
2025-06-18,S008,YYZ-DC1,213,0,2,2
2025-06-19,S008,YYZ-DC1,207,0,6,6
2025-06-20,S008,YYZ-DC1,202,0,5,4
2025-06-21,S008,YYZ-DC1,196,0,6,6
2025-06-22,S008,YYZ-DC1,271,84,9,8
2025-06-23,S008,YYZ-DC1,259,0,12,11
2025-06-24,S008,YYZ-DC1,254,0,5,5
2025-06-25,S008,YYZ-DC1,250,0,4,4
2025-06-26,S008,YYZ-DC1,245,0,5,4
2025-06-27,S008,YYZ-DC1,324,91,12,10
2025-06-28,S008,YYZ-DC1,317,0,7,7
2025-06-29,S008,YYZ-DC1,312,0,5,5
2025-05-01,S009,YYZ-DC1,93,0,6,4
2025-05-02,S009,YYZ-DC1,85,0,8,6
2025-05-03,S009,YYZ-DC1,77,0,8,7
2025-05-04,S009,YYZ-DC1,69,0,8,8
2025-05-05,S009,YYZ-DC1,64,0,5,3
2025-05-06,S009,YYZ-DC1,58,0,6,4
2025-05-07,S009,YYZ-DC1,55,0,3,2
2025-05-08,S009,YYZ-DC1,52,0,3,3
2025-05-09,S009,YYZ-DC1,114,65,3,3
2025-05-10,S009,YYZ-DC1,112,0,2,2
2025-05-11,S009,YYZ-DC1,103,0,9,8
2025-05-12,S009,YYZ-DC1,94,0,9,8
2025-05-13,S009,YYZ-DC1,86,0,8,7
2025-05-14,S009,YYZ-DC1,81,0,5,4
2025-05-15,S009,YYZ-DC1,77,0,4,3
2025-05-16,S009,YYZ-DC1,69,0,8,8
2025-05-17,S009,YYZ-DC1,64,0,5,3
2025-05-18,S009,YYZ-DC1,110,51,5,5
2025-05-19,S009,YYZ-DC1,106,0,4,4
2025-05-20,S009,YYZ-DC1,105,0,1,1
2025-05-21,S009,YYZ-DC1,102,0,3,1
2025-05-22,S009,YYZ-DC1,95,0,7,5
2025-05-23,S009,YYZ-DC1,91,0,4,3
2025-05-24,S009,YYZ-DC1,179,96,8,6
2025-05-25,S009,YYZ-DC1,170,0,9,7
2025-05-26,S009,YYZ-DC1,166,0,4,3
2025-05-27,S009,YYZ-DC1,160,0,6,6
2025-05-28,S009,YYZ-DC1,151,0,9,7
2025-05-29,S009,YYZ-DC1,147,0,4,3
2025-05-30,S009,YYZ-DC1,249,106,4,4
2025-05-31,S009,YYZ-DC1,245,0,4,3
2025-06-01,S009,YYZ-DC1,235,0,10,9
2025-06-02,S009,YYZ-DC1,225,0,10,10
2025-06-03,S009,YYZ-DC1,212,0,13,11
2025-06-04,S009,YYZ-DC1,263,56,5,5
2025-06-05,S009,YYZ-DC1,263,0,0,0
