DeliveryID,RouteID,DriverID,StopSequence,PlannedDateTime,ActualDateTime,Status,LateFlag,DelayReason,DistanceKm,CustomerLat,CustomerLon
L00018,R20250601-02,D004,2,2025-06-01T09:30:00,2025-06-01T09:34:00,Delivered,1,Parking,0.9,43.656806,-79.425559
L00019,R20250601-02,D004,3,2025-06-01T09:32:00,2025-06-01T09:35:00,Delivered,1,Parking,3.07,43.602025,-79.368858
L00020,R20250601-02,D004,4,2025-06-01T09:47:00,2025-06-01T09:57:00,Delivered,1,Parking,6.13,43.593762,-79.43438
L00021,R20250601-02,D004,5,2025-06-01T09:48:00,2025-06-01T09:45:00,Delivered,0,None,4.64,43.642089,-79.500865
L00022,R20250601-02,D004,6,2025-06-01T10:01:00,2025-06-01T10:07:00,Delivered,1,BulkOrder,7.09,43.798893,-79.350047
L00023,R20250601-02,D004,7,2025-06-01T10:04:00,2025-06-01T10:09:00,Delivered,1,BulkOrder,2.75,43.622595,-79.394463
L00024,R20250601-02,D004,8,2025-06-01T10:14:00,2025-06-01T10:22:00,Delivered,1,BulkOrder,1.64,43.569466,-79.422105
L00025,R20250601-02,D004,9,2025-06-01T10:20:00,2025-06-01T10:23:00,Delivered,1,BulkOrder,5.27,43.628235,-79.477996
L00026,R20250601-02,D004,10,2025-06-01T10:35:00,2025-06-01T10:32:00,Delivered,0,None,2.02,43.695124,-79.455434
L00027,R20250601-02,D004,11,2025-06-01T10:41:00,2025-06-01T11:03:00,Delivered,1,Weather,3.43,43.620461,-79.347514
L00028,R20250601-02,D004,12,2025-06-01T10:48:00,2025-06-01T10:43:00,Failed,0,CustomerNotHome,6.34,43.6612,-79.392691
L00029,R20250601-02,D004,13,2025-06-01T11:00:00,2025-06-01T11:13:00,Delivered,1,Weather,2.76,43.708514,-79.348899
L00030,R20250601-02,D004,14,2025-06-01T11:07:00,2025-06-01T11:35:00,Delivered,1,BulkOrder,6.47,43.739383,-79.397562
L00031,R20250601-02,D004,15,2025-06-01T11:09:00,2025-06-01T11:14:00,Delivered,1,Parking,6.03,43.608464,-79.331734
L00032,R20250601-02,D004,16,2025-06-01T11:18:00,2025-06-01T11:19:00,Delivered,1,BulkOrder,6.03,43.657729,-79.331685
L00033,R20250601-02,D004,17,2025-06-01T11:23:00,2025-06-01T11:13:00,Delivered,0,None,1.31,43.609292,-79.40993
L00034,R20250601-02,D004,18,2025-06-01T11:36:00,2025-06-01T11:43:00,Delivered,1,Parking,2.63,43.636816,-79.302979
L00035,R20250601-03,D001,1,2025-06-01T09:27:00,2025-06-01T09:28:00,Delivered,1,BulkOrder,3.94,43.662029,-79.469951
L00036,R20250601-03,D001,2,2025-06-01T09:32:00,2025-06-01T09:35:00,Failed,0,CustomerNotHome,1.96,43.638831,-79.500275
L00037,R20250601-03,D001,3,2025-06-01T09:39:00,2025-06-01T09:38:00,Delivered,0,None,2.19,43.620493,-79.554983
L00038,R20250601-03,D001,4,2025-06-01T09:41:00,2025-06-01T10:07:00,Delivered,1,Parking,7.48,43.626728,-79.453349
L00039,R20250601-03,D001,5,2025-06-01T09:50:00,2025-06-01T09:57:00,Delivered,1,Parking,1.18,43.598361,-79.236247
L00040,R20250601-03,D001,6,2025-06-01T09:59:00,2025-06-01T10:18:00,Delivered,1,Traffic,4.11,43.739635,-79.462149
L00041,R20250601-03,D001,7,2025-06-01T10:15:00,2025-06-01T10:21:00,Delivered,1,Traffic,3.26,43.584455,-79.402254
L00042,R20250601-03,D001,8,2025-06-01T10:16:00,2025-06-01T10:16:00,Delivered,0,None,4.35,43.703836,-79.370766
L00043,R20250601-03,D001,9,2025-06-01T10:22:00,2025-06-01T10:26:00,Delivered,1,Parking,2.2,43.669025,-79.390983
L00044,R20250601-03,D001,10,2025-06-01T10:31:00,2025-06-01T10:42:00,Delivered,1,Weather,1.5,43.712757,-79.36218
L00045,R20250601-03,D001,11,2025-06-01T10:37:00,2025-06-01T11:06:00,Delivered,1,Traffic,4.32,43.597678,-79.420922
L00046,R20250601-03,D001,12,2025-06-01T10:51:00,2025-06-01T10:53:00,Delivered,1,Parking,3.05,43.660828,-79.265481
L00047,R20250601-03,D001,13,2025-06-01T10:54:00,2025-06-01T10:41:00,Delivered,0,None,4.03,43.634604,-79.523738
L00048,R20250601-03,D001,14,2025-06-01T11:05:00,2025-06-01T11:23:00,Delivered,1,Traffic,5.05,43.636774,-79.388106
L00049,R20250601-03,D001,15,2025-06-01T11:11:00,2025-06-01T11:36:00,Delivered,1,Parking,6.62,43.712071,-79.348073
L00050,R20250601-04,D004,1,2025-06-01T09:43:00,2025-06-01T10:04:00,Delivered,1,BulkOrder,2.24,43.702679,-79.477464
L00051,R20250601-04,D004,2,2025-06-01T09:52:00,2025-06-01T10:08:00,Delivered,1,BulkOrder,5.61,43.690743,-79.237548
L00052,R20250601-04,D004,3,2025-06-01T10:00:00,2025-06-01T09:53:00,Delivered,0,None,1.39,43.627286,-79.262302
L00053,R20250601-04,D004,4,2025-06-01T10:06:00,2025-06-01T10:04:00,Delivered,0,None,3.56,43.592372,-79.436891
L00054,R20250601-04,D004,5,2025-06-01T10:15:00,2025-06-01T10:29:00,Delivered,1,Traffic,0.3,43.668418,-79.377437
L00055,R20250601-04,D004,6,2025-06-01T10:24:00,2025-06-01T10:38:00,Delivered,1,Weather,2.44,43.682745,-79.509728
L00056,R20250601-04,D004,7,2025-06-01T10:33:00,2025-06-01T10:37:00,Delivered,1,BulkOrder,4.96,43.706624,-79.36457
L00057,R20250601-04,D004,8,2025-06-01T10:42:00,2025-06-01T11:00:00,Delivered,1,Weather,3.23,43.645574,-79.352528
L00058,R20250601-04,D004,9,2025-06-01T10:42:00,2025-06-01T10:38:00,Delivered,0,None,6.17,43.616021,-79.44898
L00059,R20250601-04,D004,10,2025-06-01T10:53:00,2025-06-01T11:00:00,Delivered,1,Parking,5.04,43.695291,-79.338871
L00060,R20250601-04,D004,11,2025-06-01T11:08:00,2025-06-01T11:23:00,Delivered,1,Parking,6.39,43.630315,-79.37457
L00061,R20250601-04,D004,12,2025-06-01T11:07:00,2025-06-01T11:10:00,Delivered,1,BulkOrder,2.07,43.675182,-79.341265
L00062,R20250601-04,D004,13,2025-06-01T11:19:00,2025-06-01T11:32:00,Failed,0,CustomerNotHome,3.6,43.629611,-79.346449
L00063,R20250601-04,D004,14,2025-06-01T11:22:00,2025-06-01T11:24:00,Delivered,1,Parking,4.45,43.617966,-79.397569
L00064,R20250601-04,D004,15,2025-06-01T11:39:00,2025-06-01T11:42:00,Delivered,1,Traffic,4.44,43.639908,-79.392603
L00065,R20250601-04,D004,16,2025-06-01T11:39:00,2025-06-01T11:30:00,Delivered,0,None,0.83,43.536519,-79.437461
L00066,R20250601-04,D004,17,2025-06-01T11:53:00,2025-06-01T11:53:00,Delivered,0,None,5.46,43.719584,-79.388731
L00067,R20250601-04,D004,18,2025-06-01T11:55:00,2025-06-01T11:56:00,Delivered,1,Parking,1.99,43.62348,-79.501643
L00068,R20250601-05,D006,1,2025-06-01T09:12:00,2025-06-01T09:18:00,Failed,0,AccessBlocked,4.21,43.601173,-79.345224
L00069,R20250601-05,D006,2,2025-06-01T09:26:00,2025-06-01T09:37:00,Delivered,1,Parking,2.41,43.626505,-79.46878
L00070,R20250601-05,D006,3,2025-06-01T09:34:00,2025-06-01T09:48:00,Delivered,1,BulkOrder,4.15,43.719233,-79.410623
L00071,R20250601-05,D006,4,2025-06-01T09:42:00,2025-06-01T09:46:00,Delivered,1,Parking,5.51,43.672369,-79.393691
L00072,R20250601-05,D006,5,2025-06-01T09:51:00,2025-06-01T10:09:00,Delivered,1,BulkOrder,3.79,43.707012,-79.450853
L00073,R20250601-05,D006,6,2025-06-01T09:53:00,2025-06-01T10:01:00,Delivered,1,Parking,2.0,43.573722,-79.549039
L00074,R20250601-05,D006,7,2025-06-01T10:06:00,2025-06-01T10:06:00,Delivered,0,None,6.99,43.7085,-79.460167
L00075,R20250601-05,D006,8,2025-06-01T10:11:00,2025-06-01T10:26:00,Delivered,1,Parking,4.61,43.636237,-79.298092
L00076,R20250601-05,D006,9,2025-06-01T10:23:00,2025-06-01T10:29:00,Delivered,1,Parking,3.9,43.724861,-79.375878
L00077,R20250601-05,D006,10,2025-06-01T10:25:00,2025-06-01T10:26:00,Delivered,1,Weather,4.27,43.610623,-79.329953
L00078,R20250601-06,D001,1,2025-06-01T09:47:00,2025-06-01T09:47:00,Delivered,0,None,2.94,43.699977,-79.529712
L00079,R20250601-06,D001,2,2025-06-01T09:55:00,2025-06-01T09:46:00,Delivered,0,None,5.95,43.697959,-79.440758
L00080,R20250601-06,D001,3,2025-06-01T10:01:00,2025-06-01T09:46:00,Delivered,0,None,7.86,43.674944,-79.427966
L00081,R20250601-06,D001,4,2025-06-01T10:10:00,2025-06-01T10:28:00,Delivered,1,BulkOrder,3.35,43.69274,-79.355628
L00082,R20250601-06,D001,5,2025-06-01T10:17:00,2025-06-01T10:48:00,Delivered,1,Traffic,6.43,43.604693,-79.454216
L00083,R20250601-06,D001,6,2025-06-01T10:26:00,2025-06-01T10:26:00,Delivered,0,None,2.7,43.725952,-79.372681
L00084,R20250601-06,D001,7,2025-06-01T10:26:00,2025-06-01T10:42:00,Delivered,1,Weather,2.69,43.675817,-79.508461
L00085,R20250601-06,D001,8,2025-06-01T10:35:00,2025-06-01T10:40:00,Delivered,1,Weather,0.3,43.613872,-79.518117
L00086,R20250601-06,D001,9,2025-06-01T10:51:00,2025-06-01T10:54:00,Delivered,1,Weather,3.21,43.663369,-79.463883
L00087,R20250601-06,D001,10,2025-06-01T10:57:00,2025-06-01T11:03:00,Delivered,1,Weather,4.5,43.668021,-79.220394
L00088,R20250601-06,D001,11,2025-06-01T11:02:00,2025-06-01T11:12:00,Delivered,1,Traffic,1.26,43.60876,-79.388854
L00089,R20250601-06,D001,12,2025-06-01T11:15:00,2025-06-01T11:34:00,Delivered,1,Parking,5.12,43.690171,-79.395972
L00090,R20250601-06,D001,13,2025-06-01T11:20:00,2025-06-01T11:25:00,Delivered,1,Traffic,3.38,43.666302,-79.455176
L00091,R20250601-06,D001,14,2025-06-01T11:28:00,2025-06-01T11:56:00,Delivered,1,BulkOrder,5.75,43.640574,-79.354124
L00092,R20250601-06,D001,15,2025-06-01T11:35:00,2025-06-01T11:56:00,Delivered,1,Weather,4.79,43.753065,-79.477329
L00093,R20250601-06,D001,16,2025-06-01T11:47:00,2025-06-01T11:44:00,Failed,0,AccessBlocked,1.3,43.665652,-79.237496
L00094,R20250601-06,D001,17,2025-06-01T11:56:00,2025-06-01T12:21:00,Delivered,1,Weather,2.74,43.627171,-79.318192
L00095,R20250601-07,D001,1,2025-06-01T09:26:00,2025-06-01T09:31:00,Delivered,1,Parking,2.37,43.621369,-79.339909
L00096,R20250601-07,D001,2,2025-06-01T09:31:00,2025-06-01T09:37:00,Delivered,1,Traffic,4.47,43.601485,-79.364378
L00097,R20250601-07,D001,3,2025-06-01T09:47:00,2025-06-01T10:16:00,Delivered,1,Parking,4.78,43.665282,-79.432318
L00098,R20250601-07,D001,4,2025-06-01T09:55:00,2025-06-01T10:05:00,Delivered,1,BulkOrder,3.98,43.622217,-79.345509
L00099,R20250601-07,D001,5,2025-06-01T10:03:00,2025-06-01T10:08:00,Delivered,1,Weather,0.3,43.733747,-79.179254
L00100,R20250601-07,D001,6,2025-06-01T10:05:00,2025-06-01T10:30:00,Delivered,1,Parking,2.98,43.643704,-79.472271
L00101,R20250601-07,D001,7,2025-06-01T10:18:00,2025-06-01T10:23:00,Delivered,1,Weather,7.19,43.661798,-79.410186
L00102,R20250601-07,D001,8,2025-06-01T10:27:00,2025-06-01T10:28:00,Failed,0,AccessBlocked,1.21,43.566666,-79.370049
L00103,R20250601-07,D001,9,2025-06-01T10:32:00,2025-06-01T10:45:00,Delivered,1,Traffic,1.51,43.682563,-79.357648
L00104,R20250601-07,D001,10,2025-06-01T10:39:00,2025-06-01T10:36:00,Delivered,0,None,2.92,43.568602,-79.384605
L00105,R20250601-07,D001,11,2025-06-01T10:49:00,2025-06-01T10:46:00,Delivered,0,None,0.43,43.572417,-79.344635
L00106,R20250601-07,D001,12,2025-06-01T10:54:00,2025-06-01T10:53:00,Delivered,0,None,3.99,43.617506,-79.488546
L00107,R20250601-07,D001,13,2025-06-01T11:07:00,2025-06-01T11:14:00,Delivered,1,Traffic,4.19,43.674209,-79.352184
L00108,R20250601-07,D001,14,2025-06-01T11:13:00,2025-06-01T11:19:00,Delivered,1,BulkOrder,2.56,43.63143,-79.421528
L00109,R20250601-07,D001,15,2025-06-01T11:25:00,2025-06-01T11:31:00,Delivered,1,Traffic,2.74,43.668904,-79.402861
L00110,R20250601-07,D001,16,2025-06-01T11:24:00,2025-06-01T11:13:00,Delivered,0,None,2.09,43.537182,-79.460291
L00111,R20250601-07,D001,17,2025-06-01T11:41:00,2025-06-01T11:51:00,Delivered,1,Traffic,1.64,43.650352,-79.299266
L00112,R20250601-08,D001,1,2025-06-01T09:36:00,2025-06-01T09:41:00,Delivered,1,Traffic,3.48,43.688283,-79.466006
L00113,R20250601-08,D001,2,2025-06-01T09:44:00,2025-06-01T09:45:00,Delivered,1,Parking,0.69,43.687487,-79.411276
L00114,R20250601-08,D001,3,2025-06-01T09:53:00,2025-06-01T09:54:00,Delivered,1,Parking,0.81,43.607056,-79.266306
L00115,R20250601-08,D001,4,2025-06-01T09:58:00,2025-06-01T10:01:00,Delivered,1,BulkOrder,1.48,43.675591,-79.378538
L00116,R20250601-08,D001,5,2025-06-01T10:10:00,2025-06-01T10:10:00,Delivered,0,None,3.78,43.692088,-79.318639
L00117,R20250601-08,D001,6,2025-06-01T10:13:00,2025-06-01T10:02:00,Delivered,0,None,5.64,43.602169,-79.531987
L00118,R20250601-08,D001,7,2025-06-01T10:25:00,2025-06-01T10:32:00,Delivered,1,Weather,2.83,43.608543,-79.382284
L00119,R20250601-08,D001,8,2025-06-01T10:29:00,2025-06-01T10:44:00,Delivered,1,Weather,6.71,43.710002,-79.456868
L00120,R20250601-08,D001,9,2025-06-01T10:37:00,2025-06-01T10:42:00,Delivered,1,Weather,4.64,43.690201,-79.332247
L00121,R20250601-08,D001,10,2025-06-01T10:46:00,2025-06-01T11:15:00,Delivered,1,Weather,2.5,43.589208,-79.248655
L00122,R20250601-08,D001,11,2025-06-01T10:55:00,2025-06-01T11:30:00,Delivered,1,Traffic,3.52,43.66334,-79.470678
L00123,R20250601-08,D001,12,2025-06-01T11:06:00,2025-06-01T11:10:00,Failed,0,AccessBlocked,3.41,43.649214,-79.239395
L00124,R20250601-08,D001,13,2025-06-01T11:14:00,2025-06-01T11:31:00,Delivered,1,Traffic,3.13,43.599079,-79.395284
L00125,R20250601-08,D001,14,2025-06-01T11:25:00,2025-06-01T11:33:00,Delivered,1,Parking,4.2,43.563865,-79.393015
L00126,R20250601-08,D001,15,2025-06-01T11:24:00,2025-06-01T11:47:00,Delivered,1,BulkOrder,1.98,43.599015,-79.355632
L00127,R20250601-08,D001,16,2025-06-01T11:34:00,2025-06-01T11:48:00,Delivered,1,Parking,3.26,43.59099,-79.408729
L00128,R20250601-08,D001,17,2025-06-01T11:50:00,2025-06-01T12:00:00,Delivered,1,Weather,2.59,43.621797,-79.358284
L00129,R20250601-08,D001,18,2025-06-01T11:53:00,2025-06-01T11:53:00,Delivered,0,None,1.45,43.629138,-79.268178
L00130,R20250601-09,D004,1,2025-06-01T09:49:00,2025-06-01T09:45:00,Delivered,0,None,0.3,43.654655,-79.380727
L00131,R20250601-09,D004,2,2025-06-01T09:51:00,2025-06-01T10:10:00,Delivered,1,Parking,6.31,43.596811,-79.413585
L00132,R20250601-09,D004,3,2025-06-01T10:03:00,2025-06-01T10:01:00,Delivered,0,None,6.07,43.745069,-79.410075
L00133,R20250601-09,D004,4,2025-06-01T10:11:00,2025-06-01T10:24:00,Delivered,1,Weather,3.33,43.659753,-79.353962
L00134,R20250601-09,D004,5,2025-06-01T10:14:00,2025-06-01T10:36:00,Delivered,1,Traffic,2.85,43.628712,-79.310512
L00135,R20250601-09,D004,6,2025-06-01T10:25:00,2025-06-01T10:32:00,Delivered,1,Weather,4.11,43.674448,-79.538157
L00136,R20250601-09,D004,7,2025-06-01T10:27:00,2025-06-01T10:24:00,Delivered,0,None,3.39,43.657399,-79.43868
L00137,R20250601-09,D004,8,2025-06-01T10:40:00,2025-06-01T10:34:00,Delivered,0,None,2.45,43.650871,-79.360891
L00138,R20250601-09,D004,9,2025-06-01T10:43:00,2025-06-01T10:59:00,Delivered,1,Parking,0.3,43.652584,-79.400877
L00139,R20250601-09,D004,10,2025-06-01T10:56:00,2025-06-01T10:57:00,Delivered,1,BulkOrder,5.21,43.597645,-79.476958
L00140,R20250601-09,D004,11,2025-06-01T11:05:00,2025-06-01T11:08:00,Delivered,1,Traffic,0.3,43.568,-79.449843
L00141,R20250601-09,D004,12,2025-06-01T11:13:00,2025-06-01T11:22:00,Delivered,1,Traffic,2.94,43.705667,-79.437281
L00142,R20250601-09,D004,13,2025-06-01T11:20:00,2025-06-01T11:49:00,Delivered,1,BulkOrder,3.68,43.645828,-79.256138
L00143,R20250601-09,D004,14,2025-06-01T11:27:00,2025-06-01T11:31:00,Delivered,1,Traffic,1.2,43.656696,-79.4693
L00144,R20250601-09,D004,15,2025-06-01T11:37:00,2025-06-01T11:41:00,Delivered,1,Traffic,5.28,43.711075,-79.268296
L00145,R20250601-09,D004,16,2025-06-01T11:41:00,2025-06-01T12:11:00,Delivered,1,Traffic,2.93,43.60985,-79.373662
L00146,R20250601-09,D004,17,2025-06-01T11:47:00,2025-06-01T12:13:00,Delivered,1,Weather,4.24,43.641587,-79.377143
L00147,R20250601-09,D004,18,2025-06-01T12:00:00,2025-06-01T12:02:00,Delivered,1,BulkOrder,6.47,43.668681,-79.336036
L00148,R20250601-10,D003,1,2025-06-01T09:13:00,2025-06-01T09:25:00,Delivered,1,Traffic,5.1,43.677738,-79.287175
L00149,R20250601-10,D003,2,2025-06-01T09:29:00,2025-06-01T09:34:00,Delivered,1,BulkOrder,4.19,43.470779,-79.521077
L00150,R20250601-10,D003,3,2025-06-01T09:37:00,2025-06-01T09:41:00,Delivered,1,BulkOrder,2.22,43.721727,-79.421922
L00151,R20250601-10,D003,4,2025-06-01T09:42:00,2025-06-01T09:58:00,Delivered,1,BulkOrder,3.74,43.603083,-79.391978
L00152,R20250601-10,D003,5,2025-06-01T09:45:00,2025-06-01T09:56:00,Delivered,1,BulkOrder,2.16,43.699418,-79.380431
L00153,R20250601-10,D003,6,2025-06-01T09:55:00,2025-06-01T09:56:00,Delivered,1,Traffic,1.7,43.601121,-79.294826
L00154,R20250601-10,D003,7,2025-06-01T10:09:00,2025-06-01T10:24:00,Delivered,1,Parking,4.33,43.576664,-79.364841
L00155,R20250601-10,D003,8,2025-06-01T10:07:00,2025-06-01T10:36:00,Delivered,1,BulkOrder,4.1,43.638069,-79.421823
L00156,R20250601-10,D003,9,2025-06-01T10:19:00,2025-06-01T10:31:00,Delivered,1,BulkOrder,5.87,43.647713,-79.354982
L00157,R20250601-10,D003,10,2025-06-01T10:24:00,2025-06-01T10:51:00,Delivered,1,Weather,3.39,43.616736,-79.416358
L00158,R20250601-10,D003,11,2025-06-01T10:35:00,2025-06-01T10:40:00,Delivered,1,Traffic,4.71,43.634458,-79.3227
L00159,R20250602-01,D004,1,2025-06-02T09:26:00,2025-06-02T09:25:00,Delivered,0,None,1.62,43.602148,-79.379026
L00160,R20250602-01,D004,2,2025-06-02T09:35:00,2025-06-02T09:35:00,Delivered,0,None,4.11,43.669002,-79.350414
L00161,R20250602-01,D004,3,2025-06-02T09:44:00,2025-06-02T09:44:00,Delivered,0,None,0.3,43.655003,-79.383571
L00162,R20250602-01,D004,4,2025-06-02T09:42:00,2025-06-02T09:51:00,Delivered,1,Weather,4.37,43.626804,-79.383311
L00163,R20250602-01,D004,5,2025-06-02T09:57:00,2025-06-02T10:09:00,Delivered,1,Weather,4.72,43.60546,-79.305288
L00164,R20250602-01,D004,6,2025-06-02T10:05:00,2025-06-02T10:17:00,Delivered,1,BulkOrder,2.53,43.68033,-79.45965
L00165,R20250602-01,D004,7,2025-06-02T10:08:00,2025-06-02T10:12:00,Delivered,1,Parking,3.7,43.775457,-79.493385
L00166,R20250602-01,D004,8,2025-06-02T10:21:00,2025-06-02T10:23:00,Delivered,1,Weather,4.3,43.645516,-79.266876
L00167,R20250602-01,D004,9,2025-06-02T10:24:00,2025-06-02T10:24:00,Delivered,0,None,3.39,43.599602,-79.346798
L00168,R20250602-01,D004,10,2025-06-02T10:39:00,2025-06-02T10:49:00,Delivered,1,Traffic,1.49,43.641735,-79.510624
L00169,R20250602-01,D004,11,2025-06-02T10:41:00,2025-06-02T10:44:00,Delivered,1,Weather,2.44,43.724965,-79.3637
L00170,R20250602-01,D004,12,2025-06-02T10:52:00,2025-06-02T11:08:00,Delivered,1,BulkOrder,3.7,43.632783,-79.495049
L00171,R20250602-01,D004,13,2025-06-02T11:01:00,2025-06-02T11:06:00,Delivered,1,Parking,3.52,43.692947,-79.368771
L00172,R20250602-01,D004,14,2025-06-02T11:08:00,2025-06-02T11:07:00,Delivered,0,None,6.34,43.677928,-79.305307
L00173,R20250602-01,D004,15,2025-06-02T11:20:00,2025-06-02T11:29:00,Delivered,1,Weather,4.58,43.679183,-79.470987
L00174,R20250602-01,D004,16,2025-06-02T11:21:00,2025-06-02T11:15:00,Delivered,0,None,5.85,43.695211,-79.264208
L00175,R20250602-01,D004,17,2025-06-02T11:33:00,2025-06-02T11:29:00,Delivered,0,None,3.68,43.657149,-79.292506
L00176,R20250602-02,D005,1,2025-06-02T09:22:00,2025-06-02T09:29:00,Delivered,1,Traffic,2.15,43.641409,-79.397934
L00177,R20250602-02,D005,2,2025-06-02T09:28:00,2025-06-02T09:55:00,Delivered,1,Traffic,0.3,43.60849,-79.404246
L00178,R20250602-02,D005,3,2025-06-02T09:34:00,2025-06-02T09:32:00,Delivered,0,None,5.82,43.656285,-79.380222
L00179,R20250602-02,D005,4,2025-06-02T09:42:00,2025-06-02T09:53:00,Delivered,1,BulkOrder,0.3,43.553123,-79.426654
L00180,R20250602-02,D005,5,2025-06-02T09:56:00,2025-06-02T10:27:00,Delivered,1,Weather,5.33,43.70471,-79.368475
L00181,R20250602-02,D005,6,2025-06-02T09:58:00,2025-06-02T10:05:00,Delivered,1,Traffic,4.76,43.658731,-79.383093
L00182,R20250602-02,D005,7,2025-06-02T10:15:00,2025-06-02T10:03:00,Delivered,0,None,1.36,43.635037,-79.403569
L00183,R20250602-02,D005,8,2025-06-02T10:15:00,2025-06-02T10:37:00,Delivered,1,Weather,6.74,43.632613,-79.412287
L00184,R20250602-02,D005,9,2025-06-02T10:30:00,2025-06-02T10:31:00,Delivered,1,Weather,1.7,43.648957,-79.511216
L00185,R20250602-02,D005,10,2025-06-02T10:32:00,2025-06-02T10:49:00,Delivered,1,Traffic,1.12,43.695934,-79.447217
L00186,R20250602-02,D005,11,2025-06-02T10:42:00,2025-06-02T10:52:00,Delivered,1,Traffic,2.93,43.671468,-79.334163
L00187,R20250602-03,D006,1,2025-06-02T09:13:00,2025-06-02T09:21:00,Delivered,1,BulkOrder,6.98,43.751224,-79.48144
L00188,R20250602-03,D006,2,2025-06-02T09:19:00,2025-06-02T09:54:00,Delivered,1,Weather,2.62,43.674211,-79.391392
L00189,R20250602-03,D006,3,2025-06-02T09:26:00,2025-06-02T09:25:00,Delivered,0,None,1.92,43.767282,-79.359399
L00190,R20250602-03,D006,4,2025-06-02T09:35:00,2025-06-02T09:47:00,Delivered,1,Traffic,2.22,43.520615,-79.493441
L00191,R20250602-03,D006,5,2025-06-02T09:40:00,2025-06-02T09:29:00,Delivered,0,None,5.88,43.650978,-79.279955
L00192,R20250602-03,D006,6,2025-06-02T09:55:00,2025-06-02T10:11:00,Delivered,1,Traffic,4.81,43.624368,-79.338437
L00193,R20250602-03,D006,7,2025-06-02T10:00:00,2025-06-02T10:05:00,Failed,0,CustomerNotHome,1.37,43.657525,-79.357039
L00194,R20250602-03,D006,8,2025-06-02T10:12:00,2025-06-02T10:29:00,Delivered,1,Traffic,6.29,43.717049,-79.463303
L00195,R20250602-03,D006,9,2025-06-02T10:14:00,2025-06-02T10:51:00,Delivered,1,Weather,3.62,43.632593,-79.527816
L00196,R20250602-03,D006,10,2025-06-02T10:28:00,2025-06-02T10:26:00,Delivered,0,None,6.23,43.613354,-79.359042
L00197,R20250602-03,D006,11,2025-06-02T10:31:00,2025-06-02T10:40:00,Delivered,1,Traffic,6.63,43.629088,-79.303253
L00198,R20250602-03,D006,12,2025-06-02T10:40:00,2025-06-02T10:42:00,Delivered,1,Traffic,3.41,43.647425,-79.450085
L00199,R20250602-03,D006,13,2025-06-02T10:54:00,2025-06-02T10:59:00,Delivered,1,BulkOrder,6.11,43.634453,-79.353356
L00200,R20250602-03,D006,14,2025-06-02T10:52:00,2025-06-02T10:51:00,Delivered,0,None,6.42,43.671385,-79.400642
L00201,R20250602-03,D006,15,2025-06-02T11:00:00,2025-06-02T11:09:00,Delivered,1,BulkOrder,4.93,43.656223,-79.363164
L00202,R20250602-03,D006,16,2025-06-02T11:18:00,2025-06-02T11:19:00,Delivered,1,BulkOrder,3.81,43.631247,-79.414766
